title,link,type_link,user_name,price,last_month_publish,date_publish,visits,room,bathroom,car_parking,suftace_area,count_photo,urgent_promotion,top_promotion,presale_promotion,address,ad_latitude,ad_longitude,extra_data,description,ad_type,ad_page,date_scraping,source
"Departamentos en Venta en Cervantes 101 en Miguel Hidalgo, CDMX",/d-desarrollo-cervantes-101/62cc7981cb0e849cf09be619,d,Cervantes 101,4035000,0.0,2022-07-01,0.0,13,0,0,51132,15,-,-,Nuevo - Preventa,"Blvd. Miguel de Cervantes Saavedra 101 Granada Miguel Hidalgo, CDMX",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:51-132m2', 'Recámara(s):1-3', 'Baños:1-2', 'Medio Baños:—', 'Garage:1-2', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:—']","El desarrollo para vivir Polanco, Cervantes 101 será un referente de la zona con su maravillosa ubicación ya que podrás vivir Polanco caminando. 

En la misma calle que Museo Soumaya, plaza Carso y a espaldas de Ejercito Nacional, experimentarás el gozo de lo que la zona ofrece para ti. 


Departamentos desde 51m² hasta 114m² con las mejores amenidades de la zona, como Kids lab, teatro y piscina para niños, Green bar, Sauna, GYM y jet pool para ti y tus visitas, entre otras muchas mas amenidades. 

Conoce la que será tu opción A para elegir el hogar de tus sueños.


		 Class Experiencia Inmobiliaria",promoted,1,2022-07-23,vivanuncios
"Departamentos en Venta en Select Living Martín Carrera en GAM, CDMX",/d-desarrollo-select-living-martin-carrera/62852ba0cb0e114eee9dc194,d,Select Living Martín Carrera,2222586,0.0,2022-07-01,0.0,2,0,0,98,4,-,-,Nuevo - Preventa,"Av. Gral. Martin Carrera 26, Martín Carrera, Gustavo A. Madero, 07070, CDMX",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:98m2', 'Recámara(s):2', 'Baños:1', 'Medio Baños:1', 'Garage:1', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:abril 2023']","Vivienda Vertical

	 GRUPO UBK",promoted,1,2022-07-23,vivanuncios
"Departamentos en Venta en Eje Central 321 en Benito Juárez, CDMX ",/d-desarrollo-eje-central-321/62c8b3d1cb0ef38ff6cb6309,d,Eje Central 321,3120800,0.0,2022-07-01,0.0,2,0,0,63157,4,-,-,Nuevo - Preventa,"Eje Central 321, Portales Norte, Benito Juárez, CDMX",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:63-157m2', 'Recámara(s):2', 'Baños:1-2', 'Medio Baños:—', 'Garage:1-2', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:abril 2023']","Eje Central 321 será el desarrollo que enmarcara tu futuro hogar. 

Con una ubicación envidiable, viviras con tu familia un sin fin de comercios a tu alrededor, paseos a pocas cuadras de parque de los venados, escuelas, plazas comerciales y todo cobijados por una colonia consolidada y de tradición en la CDMX.

Con Salida al sur de la ciudad por Tlalpan o al centro por Eje Central.

Departamentos con espacios pensados para familias modernas y acabados de alta gama.

Conoce el que podría ser tu futuro hogar.

Class",promoted,1,2022-07-23,vivanuncios
"Departamentos en Venta en Mitla 378 en Benito Juárez, CDMX ",/d-desarrollo-mitla-378/620edffdcb0e12a4db878953,d,Mitla 378,4235490,0.0,2022-07-01,0.0,23,0,0,70197,6,-,-,Nuevo - Preventa,"Mitla 378, Narvarte Oriente, Benito Juárez, 03020 Ciudad de México",0.0,0.0,"['Estatus:Preventa', 'Metros Cuadrados:70-197m2', 'Recámara(s):2-3', 'Baños:2-3', 'Medio Baños:—', 'Garage:1-2', 'Año de Construccion:—', 'Superficie Total:—', 'Entrega:mayo 2023']","Experimenta vivir en un desarrollo que incluye elementos de la mejor calidad en diseño, contando con detalles modernos y un ambiente lleno de armonía. 

Dale un giro a tu vida y la de tus seres queridos. 

En este lugar tu tranquilidad y gozo son la prioridad, es por eso que incluye que incluye todas las comodidades para que vivas como siempre lo has deseado. La colonia Narvarte es una gran zona emblemática de la Ciudad de Mexico dentro de la alcaldía Benito Juarez, donde se concentra una gran cantidad de actividad económica, comercial y servicios de todo tipo. 

Caracterizada por sus hermosas y amplias calles con áreas verdes y avenidas con grandes camellones alineados con palmeras , así como sus casas de estilo arte déco y colonial californiano.

DECA Bienes Raíces",promoted,1,2022-07-23,vivanuncios
DEPARTAMENTO ECONOMICO EN VENTA FRACCIONAMIENTO MORELOS II  PISO 2,/a-casas-en-venta/aguascalientes-ags/departamento-economico-en-venta-fraccionamiento-morelos-ii-piso-2/1003801928410910943041109,a,INMOBILIARIA MYM,500000,1.0,2022-06-01,220.0,2,1,1,0,12,-,Destacado,-,,21.85165,-102.26124,"['Recámara(s):2', 'Baños:1', 'Garage:1', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
CASA EN VENTA EN CANCUN AMUEBLADA CON ALBERCA ZONA SUR,/a-casas-en-venta/cancun/casa-en-venta-en-cancun-amueblada-con-alberca-zona-sur/1003786210080911043650209,a,Consorcio Inmobiliario,2900000,3.0,2022-04-02,180.0,3,2,2,180,23,Urgente,Destacado,-,,21.11989,-86.88039,"['Recámara(s):3', 'Baños:2', 'Garage:2', 'Terreno:180m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
CASA DE LOS ARCOS,/a-casas-en-venta/merida-centro/casa-de-los-arcos/1003750460060911149360609,a,MERIDA LIVING REAL ESTATE,519000,7.0,2021-12-03,522.0,4,4,0,581,25,Urgente,Destacado,-,,20.97773,-89.62842,"['Recámara(s):4', 'Baños:4+', 'Terreno:581m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
Casa en venta Mérida cerca del centro Mulsay,/a-casas-en-venta/merida/casa-en-venta-merida-cerca-del-centro-mulsay/1003808701780910860909209,a,Mexibroker,900000,16.0,2021-03-08,88.0,1,1,3,297,15,Urgente,Destacado,-,,20.96991,-89.67258,"['Recámara(s):1', 'Baños:1', 'Garage:3', 'Terreno:297m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
Casa en Mérida norte Cholul Cod. Inar Tzal,/a-casas-en-venta/merida/casa-en-merida-norte-cholul-cod-inar-tzal/1003808698800910860909209,a,Mexibroker,2850000,16.0,2021-03-08,42.0,3,3,0,250,24,-,Destacado,-,,21.03295,-89.54356,"['Recámara(s):3', 'Baños:3', 'Medio Baños:1', 'Terreno:250m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
Casa en venta Mérida Conkal Cod. Idil-Isla,/a-casas-en-venta/conkal/casa-en-venta-merida-conkal-cod-idil+isla/1003808702140910860909209,a,Mexibroker,1595000,16.0,2021-03-08,13.0,2,1,2,160,18,-,Destacado,-,,21.06843,-89.55343,"['Recámara(s):2', 'Baños:1', 'Medio Baños:1', 'Garage:2', 'Terreno:160m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
Casa en venta Mérida Conkal Cod. Nadir Rs,/a-casas-en-venta/conkal/casa-en-venta-merida-conkal-cod-nadir-rs/1003808698310910860909209,a,Mexibroker,2670000,16.0,2021-03-08,3.0,3,3,0,320,17,-,Destacado,-,,21.06851,-89.51996,"['Recámara(s):3', 'Baños:3', 'Medio Baños:1', 'Terreno:320m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
"Casa en venta en Albaterra, Colima, Colima, México",/a-casas-en-venta/colima-col/casa-en-venta-en-albaterra-colima-colima-mexico/1003765463710911186265909,a,Ideal Bienes Raices,1950000,5.0,2022-02-01,127.0,3,2,2,160,13,Urgente,Destacado,-,,19.288842,-103.702515,"['Recámara(s):3', 'Baños:2', 'Garage:2', 'Terreno:160m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
"Casa en venta en La Reserva, Villa de Álvarez, Colima, México",/a-casas-en-venta/villa-de-alvarez/casa-en-venta-en-la-reserva-villa-de-alvarez-colima-mexico/1003791951120911186265909,a,Ideal Bienes Raices,750000,2.0,2022-05-02,184.0,2,2,2,140,14,-,Destacado,-,,19.26292,-103.77395,"['Recámara(s):2', 'Baños:2', 'Garage:2', 'Terreno:140m2', 'Vendedor(a):Inmobiliaria']",-,regular,1,2022-07-23,vivanuncios
